stt,tp,c1,c2a1,c2a2,c2a3,c2a4,c2a5,c2a6,c2a7,c2a8,c2a9,c2b1,c2b2,c2b3,c2c1,c2c2,c2c3,c2c4,c2c5,c2c6,c2d1,c2d2,c2d3,c2d4,c2d5,c2d6,c3,c4.1,c4.2,c5.1,c5.2,c6.1,c6.2,c7,c8,c10,c11.1,c11.2,c12,c13,c14,c15,c16.1,c16.2,c16.3,c16.4,c16.5,c16.6,c16.7,c16.8,c16.9,c16.10,c16.11,c17.1,c17.2,c17.3,c17.4,c17.5,c18,c19.1,c19.2,c19.3,c20.1,c20.2,c20.3,c21,c22.1,c22.2,c22.3,c23a,c23b,c24a,c24b,c25,c26.1,c26.2,c26.3,c27,c28,c29a1,c29a2,c29a3,c29a4,c29a5,c29a6,c29a7,c29b1,c29b2,c29b3,c29b4,c29b5,c29b6,c29c,c30a1,c30a2,c30a3,c30a4,c30a5,c30b1,c30b2,c30b3,c30b4,c30c1,c30c2,c30c3,c30c4,c30c5,c30d1,c30d2,c31.1,c31.2,c32.a1,c32.a2,c32.a3,c32.b1,c32.b2,c32.b3,c33.1,c33.2,c33.3,c34.1,c34.2,c34.3,c35.1,c35.2,c35.3,c36.1,c36.2,c36.3,c36.4,c36.5,c36.6,c36.7,c36.8,c36.9,c36.10,c36.11,c36.12,c37.1,c37.2,c37.3,c37.4,c37.5,tuoi,sonk,gtinh,tncn,tngd,hocvan,nghe,W.TP,hocvan4n
1,1,3,1,6,7, , , , , , ,1,6, ,1,6,7, , , ,3,3,3, , , ,1,1, ,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,4,4,5,7,7,6,7,5,4,5,6,1,3,4,16,21,38,2,1,2,1,3,6,0.67,2
2,1,3,8,16,17,19, , , , , ,16,17, ,8,16,17,19, , ,3,3,3,3, , ,3,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,5,5,7,7,4,7,5,4,5,4,5,1,3,4,13,19,39,4,2,2,1,3,7,0.67,2
3,1,4,1,3,5,16,17,19, , , ,1,17,19,1,3,5,16,17, ,3,3,3,3,3, ,3,1,2,3, ,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,6,7,5,7,7,6,7,6,6,7,6,6,1,3,4,13,14,47,5,1,3,2,5,3,0.67,4
4,1,3,16,17,19, , , , , , ,17, , ,16,17,19, , , ,2,2,2, , , ,5,1, ,1,3,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,7,5,6,4,6,5,4,5,5,4,1,3,16,18, ,59,7,1,2,2,3,11,0.67,2
5,1,3,1,8,16,17,19, , , , ,16,17,19,1,8,16,17,19, ,3,3,3,3,3, ,3,1, ,3, ,1,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,2,6,3,7,7,7,7,4,5,5,7,6,1,3,13,16, ,59,5,2,2,2,3,11,0.67,2
6,1,3,1,5,13,16,17, , , , ,5,13,17,1,5,13,16,17, ,3,3,3,3,3, ,5,1, ,3, ,1,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,6,3,6,7,2,6,3,6,6,3,1,1,3,13,16, ,50,5,2,2,2,3,11,0.67,2
7,1,3,13,14,16,17,19, , , , ,16, , ,13,14,16,17,19, ,3,3,3,3,3, ,2,1,2,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,6,5,6,5,6,6,7,5,6,4,5,1,3,7,13,18,40,4,1,2,1,4,5,0.67,3
8,1,3,7,8,13,15,16,17,18, , ,8,16, ,7,8,13,15,16, ,2,2,2,2,2, ,2,1,3,3, ,2,2,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,7,6,7,7,2,7,6,7,7,6,1,1,3,7,13,22,28,3,2,2,1,3,5,0.67,2
9,1,3,1,16,17,19, , , , , ,17,19, ,1,16,17,19, , ,3,3,3,3, , ,3,1, ,3, ,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,7,5,5,7,7,6,7,6,5,6,4,4,1,3,4,13,14,46,5,1,3,2,5,1,0.67,4
10,1,3,1,16,17, , , , , , ,1,17, ,1,16,17, , , ,3,3,3, , , ,2,1, ,3, ,2,1,1, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,9,9,9,9,9,9,9,9,9,9,9,9,9,9, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,5,5,5,7,6,4,7,5,4,5,6,3,1,2,3,13, ,50,3,1,2,1,3,11,0.67,2
